based_in:,member for:,company_name:,rating:,reports:
"High Wycombe, Buckinghamshire",2 years,Absolute Floors and Walls,9.76,17
Glasgow,Less than a year,Absolute Gas Services Ltd,9.7,5
Keston,2 years,Absolute Glass Ltd,9.93,33
"Bristol, Somerset",4 years,Absolute H2O Ltd,9.89,53
"Feltham, Middlesex",1 year,Absolute Heating & Plumbing Services Ltd,9.86,91
"Swadlincote, Derbyshire",2 years,Absolute Heating Ltd,9.77,50
"Windsor, Berkshire",1 year,Absolute Home Improvements Ltd,9.59,26
"Enfield, Middlesex",Less than a year,Absolute Home Security,9.93,17
"Grays, Essex",3 years,Absolute Installs,9.88,38
"Sandhurst, Berkshire",1 year,Absolute Landscapes,9.98,31
"Shipley, West Yorkshire",2 years,Absolute Landscapes Yorkshire Ltd,9.82,40
"Bradford, West Yorkshire",1 year,Absolute Locks,9.96,63
"Henley-on-Thames, Oxfordshire",5 years,Absolute Mobility Ltd,9.87,175
"Pulborough, West Sussex",3 years,Absolute Painting and Decorating,9.74,89
"Southampton, Hampshire",8 years,Absolute Plastering Services,9.9,180
"Felbridge, Surrey",9 years,Absolute Plumbing & Heating,9.86,454
"Exeter, Devon",1 year,Absolute Plumbing & Heating,9.82,23
"Tunbridge Wells, Kent",1 year,Absolute Plumbing & Heating (Tunbridge Wells),9.96,75
"Whitstable, Kent",1 year,Absolute Property Services,9.86,24
"Grays, Essex",Less than a year,Absolute Roofing Specialist Ltd,9.8,11
"Portsmouth, Hampshire",1 year,Absolute Shutters UK,9.97,32
"Llanymynech, Powys",Less than a year,Absolute Sparks Ltd,10,4
London,1 year,Absolute Tradesmen,9.86,19
"Manchester, Greater Manchester",Less than a year,Absolute Window Co,9.8,15
"Croydon, Surrey",1 year,Absolutely Plastered,9.98,28
"Yateley, Hampshire",3 years,Abstract Carpentry & Building Services Ltd,9.92,103
"Clacton-on-Sea, Essex",1 year,Abstrip Ltd,9.85,18
"Chichester, West Sussex",5 years,ABT Plastering Ltd,9.88,99
"Southampton, Hampshire",1 year,Abtech Services,9.71,19
"Lancing, West Sussex",4 years,Aburrow Plumbing and Heating,9.72,142
"Leeds, West Yorkshire",Less than a year,AC Electrical Services,9.99,45
"Ashington, Northumberland",Less than a year,AC Electrical Specialists,9.83,6
"Tamworth, Staffordshire",1 year,AC Electrical Tamworth Ltd,9.82,32
"Nottingham, Nottinghamshire",Less than a year,AC Electrics,9.94,29
"Worthing, West Sussex",6 years,AC Gardens,9.93,112
"Basingstoke, Hampshire",6 years,AC Landscapes and Paving Services,9.88,100
Beckenham,1 year,AC Maintenance Group,9.9,36
Sutton,1 year,AC Plant Ltd,9.88,39
"Chichester, West Sussex",1 year,AC Plumbing,9.89,24
Upminster,Less than a year,AC Plumbing & Heating,9.84,32
"Brighton, East Sussex",3 years,AC Plumbing Heating & Bathrooms Services Limited,9.95,80
"Epsom, Surrey",Less than a year,AC Property Services,9.83,19
"Bournemouth, Dorset",Less than a year,AC Renovations,9.83,6
"Frimley Green, Surrey",6 years,ACA Plumbing & Heating Ltd,9.95,298
London,1 year,Acacia Gardens Ltd,9.82,20
"Shoreham-by-Sea, West Sussex",2 years,Acacia Landscape Ltd,9.71,26
"Camberley, Surrey",5 years,Academy Chimney Sweeping Co,9.93,498
"Billingshurst, West Sussex",2 years,Academy Flooring Services,9.74,68
"Loughborough, Leicestershire",1 year,Academy Roofing,9.73,12
"Swindon, Wiltshire",4 years,Acadia Windows & Doors Limited,9.89,182
"Jarrow, Tyne and Wear",2 years,Acas Tiling & Bathrooms,9.9,52
London,4 years,ACB Gas Services,9.59,58
"Dover, Kent",4 years,ACB Maintenance & Design Solutions,9.94,131
Orpington,5 years,ACC London Ltd,9.94,330
"Wilmslow, Cheshire",Less than a year,Access ASAP Locksmith,9.88,35
"Bognor Regis, West Sussex",7 years,Access Double Glazing Repairs,9.97,52
"Croydon, Surrey",6 years,Access Garage Doors Ltd (Croydon),9.6,504
"New Malden, Surrey",6 years,Access Garage Doors Ltd (New Malden),9.62,409
"Sidcup, Greater London",6 years,Access Garage Doors Ltd (Sidcup),9.69,487
"Upminster, Essex",6 years,Access Garage Doors Ltd (Upminster),9.67,420
"Watford, Hertfordshire",6 years,Access Garage Doors Ltd (Watford),9.58,542
"Yateley, Hampshire",2 years,Access Landscape & Garden Services,9.84,163
"Bognor Regis, West Sussex",10 years,Access Locks Locksmiths,9.93,85
"Byfleet, Surrey",6 years,Access Repairs,9.93,590
"Eastbourne, East Sussex",2 years,Access Repairs,9.96,362
"Southampton, Hampshire",3 years,Access Security Solutions Yale Smart Security Partner,9.93,306
"Banstead, Greater London",4 years,Access Transport Removals & Storage Ltd,9.91,386
"Bognor Regis, West Sussex",1 year,Access-UK Limited,9.87,38
"Gosport, Hampshire",4 years,Accident Repair Centre (Gosport),9.98,216
"Herne Bay, Kent",3 years,Acclaim Aerials And Satellites,9.94,125
"Bournemouth, Dorset",Less than a year,Acclaim Building Services,9.56,4
"Kettering, Northamptonshire",1 year,Acclaim Environmental Ltd,9.89,11
"St. Austell, Cornwall",4 years,Acclaimed Building Services Ltd,9.84,50
"Ash Vale, Surrey",4 years,Acclimatise Airconditioning Ltd,9.88,49
"Ringwood, Hampshire",4 years,Accolade Building Care Ltd,9.86,69
"Bath, Wiltshire",6 years,Accolade Electrical Ltd,9.92,107
"Christchurch, Dorset",Less than a year,Accolade Home Improvements LLP,9.77,27
"Sunderland, Tyne and Wear",4 years,"Accomplished Plumbing, Heating & Joinery Services Ltd",9.95,144
Romford,1 year,Accura London Ltd,9.44,24
London,1 year,Accurate Glass,9.9,53
"Hailsham, East Sussex",5 years,Accurate Roofing & Building Limited,9.88,144
"Peterborough, Cambridgeshire",1 year,Ace 4 Digital,9.94,29
"Leicester, Leicestershire",1 year,Ace Aerials and Satellites,9.93,45
"Christchurch, Dorset",10 years,Ace Aerials Ltd,9.9,611
"Burgess Hill, West Sussex",3 years,Ace Alarms & Security Systems,9.95,300
"Longfield, Kent",3 years,Ace Building Services,9.86,85
"Bognor Regis, West Sussex",4 years,Ace Building Services Southern LTD,9.97,39
"Westerham, Kent",4 years,Ace Carpet Cleaners Ltd.,9.85,341
"Iver, Buckinghamshire",5 years,Ace Contractors,9.78,43
"Southsea, Hampshire",1 year,Ace Dot Services Limited,9.82,48
"Canvey Island, Essex",4 years,Ace Electrical & Plumbing Ltd,9.63,101
London,1 year,Ace Electrical Services,9.94,17
"Slough, Berkshire",3 years,Ace Fencing & Garden Services,9.78,146
"Aylesbury, Buckinghamshire",2 years,Ace Fencing & Paving,9.92,80
"Bedford, Bedfordshire",1 year,Ace Fire & Security Systems Ltd,9.64,47
"South Croydon, Surrey",Less than a year,Ace Fitters,10,13
"Stevenage, Hertfordshire",2 years,Ace Garage Doors,9.96,28
"Salisbury, Wiltshire",3 years,Ace Gardening Services,9.9,56
"Bristol, Avon",Less than a year,Ace Gas - Plumbing and Heating,9.9,5
"Brighton, East Sussex",6 years,Ace Glass (Southern) Limited,9.85,329
"Harlow, Essex",2 years,Ace Groundworks & Driveways Limited,9.88,20
"Newcastle upon Tyne, Tyne and Wear",3 years,Ace Home Improvements,9.66,23
"Havant, Hampshire",6 years,Ace Line Paving Ltd,9.9,96
"Lancing, West Sussex",12 years,Ace Lockfast Locksmiths (Sussex),9.76,775
"Bournemouth, Dorset",7 years,Ace Lofts Ltd,9.91,110
"Rotherham, South Yorkshire",1 year,Ace of Drains,9.85,13
"Chichester, West Sussex",2 years,Ace Painting & Decorating Services,9.95,105
"Wimborne, Dorset",1 year,Ace Plant Hire,9.82,27
Surbiton,1 year,Ace Plastering & Building Services,9.89,23
Bexleyheath,3 years,Ace Plastering & Building Services,9.94,126
"Bedlington, Northumberland",3 years,Ace Plastering North East,9.8,54
"Shaftesbury, Dorset",3 years,Ace Plumbing Shaftesbury,9.93,48
"Wimborne, Dorset",7 years,Ace Property Restoration Ltd,9.89,50
"Braintree, Essex",2 years,Ace Roofing & Building,9.85,53
"Carshalton, Surrey",3 years,Ace Roofing & Guttering,9.85,169
"Swindon, Wiltshire",4 years,Ace Scaffolding (Swindon) Ltd,9.86,77
"Northampton, Northamptonshire",Less than a year,Ace Services and Repairs,9.89,14
"Maidstone, Kent",2 years,Ace Services Ltd,9.88,8
"Portsmouth, Hampshire",13 years,Ace Trades,9.7,76
"Waterlooville, Hampshire",7 years,Ace TV & Aerial Installations,9.94,267
"Worthing, West Sussex",14 years,Ace Wall Ties Ltd,9.81,741
"Gateshead, Tyne and Wear",3 years,Ace Windows (Northeast) Ltd,9.93,116
"Hounslow, Middlesex",Less than a year,Acefix Plumbing And Gas,9.93,225
"Whitstable, Kent",1 year,Acer Electrical,9.95,32
Romford,1 year,Acer Fencing & Drives,9.04,20
"Cranbrook, Kent",Less than a year,Acer Plant Ltd,9.47,5
"Cranbrook, Kent",Less than a year,Acer Projects Ltd,9.74,19
"Christchurch, Dorset",7 years,Acer Property & Landscape Services,9.83,170
"Romsey, Hampshire",6 years,Acer Renovations Ltd,9.68,56
"Farnham, Surrey",5 years,Acer Tree Services,9.99,95
"Corby, Northamptonshire",Less than a year,ACF Plumbing and Heating,9.89,19
"Reading, Berkshire",6 years,ACG Services,9.89,300
"Eastbourne, East Sussex",5 years,ACG Tree Surgery,9.91,371
"Romford, Essex",3 years,ACH Landscapes,9.85,178
"Bracknell, Berkshire",1 year,Achla Services,9.93,43
Uxbridge,1 year,ACJ Landscape Solutions,9.69,17
"Leeds, West Yorkshire",2 years,Ackroyd Plumbing & Heating Ltd,9.85,158
"Dunstable, Bedfordshire",4 years,ACL Locksmiths Ltd,9.85,370
"Broadstairs, Kent",2 years,ACL Plumbing,9.98,45
"Bournemouth, Dorset",8 years,Acland Sash Windows,9.93,31
"Richmond, Surrey",Less than a year,A-Class Carpentry Ltd,9.89,9
"Ipswich, Suffolk",3 years,Aclearer Window,9.73,11
"Lincoln, Lincolnshire",2 years,ACM Electrical,9.87,47
"Newton-le-Willows, Merseyside",Less than a year,ACM Landscapes & Driveways,9.88,24
London,4 years,Acme Joinery Ltd,9.85,36
"Redhill, Surrey",8 years,ACME Roofing Ltd,9.85,203
Kenley,1 year,Acme Security,9.38,14
Fleet,8 years,ACML Ltd,9.9,591
"Gravesend, Kent",1 year,ACNA Electrical & Property Services Ltd,9.96,140
"Shefford, Bedfordshire",3 years,Acoline Softeners Ltd,9.92,166
"Sutton-in-Ashfield, Nottinghamshire",2 years,Acorn Building & Roofing Ltd,9.74,25
"Chipping Norton, Oxfordshire",2 years,Acorn Building & Roofing Services,9.89,23
"Southampton, Hampshire",7 years,Acorn Building Contracts Ltd,9.56,30
"Rusper, West Sussex",9 years,Acorn Carpentry & Building Ltd,9.8,295
London,2 years,Acorn Carpet Care,10,262
"Rotherham, South Yorkshire",2 years,Acorn Damp Proofing,9.78,30
"West Byfleet, Surrey",7 years,Acorn Decorating,9.68,63
"Reading, Berkshire",10 years,Acorn Decorating,9.7,143
"Wokingham, Berkshire",8 years,Acorn Decorating - Peter Hopkins,9.97,148
"Ashford, Kent",3 years,Acorn Domestic Repairs Ltd,9.87,223
"Luton, Bedfordshire",Less than a year,Acorn Electrical Contractors,9.96,19
"Bournemouth, Dorset",7 years,Acorn Floor Sanding,9.99,166
"Canterbury, Kent",3 years,Acorn Garage,9.97,32
"Beckley, East Sussex",6 years,Acorn Garage Doors Ltd,9.91,540
"Newcastle upon Tyne, Tyne and Wear",Less than a year,Acorn Gardening Services,10,16
"Halifax, West Yorkshire",1 year,Acorn Home Improvements,9.81,27
"Walton-on-Thames, Surrey",3 years,Acorn Landscaping,9.51,95
Nottingham,2 years,Acorn Locksmiths,9.97,111
"Southampton, Hampshire",7 years,Acorn Plumbing,9.9,181
"Worcester, Worcestershire",Less than a year,Acorn Plumbing & Property Care,9.96,6
"Andover, Hampshire",6 years,Acorn Removals,9.9,146
"Bournemouth, Dorset",4 years,Acorn Removals (Bournemouth),9.9,503
London,1 year,Acorn Tree and Garden Services,9.83,22
"Nottingham, Nottinghamshire",1 year,Acorn Tree Services,9.86,104
"Southampton, Hampshire",6 years,Acorn Tree Specialist Limited,9.93,769
Keighley,1 year,Acorn Tree Surgeons,9.02,22
"Cowes, Isle of Wight",Less than a year,Acorns Decorating,9.93,15
"Abingdon, Oxfordshire",2 years,Acorns of Abingdon,9.95,114
"Peckham, London",2 years,ACP Electrics,9.93,90
"Ashford, Kent",Less than a year,ACP Heating,9.92,18
"Reading, Berkshire",7 years,Acquasalva,9.89,282
"Camberley, Surrey",7 years,Acquire Home Services,9.88,210
"Gosport, Hampshire",7 years,Acra Plumbing,9.95,215
"Bracknell, Berkshire",8 years,Acre Driveways,9.79,263
"Horley, Surrey",1 year,Acre Security Ltd,9.96,27
"Folkestone, Kent",1 year,Acrise Building Contractors,9.72,21
"Shotts, Lanarkshire",Less than a year,ACS All Trades,9.71,6
Wallington,4 years,ACS Carpentry,9.87,104
"Sherborne, Dorset",Less than a year,AC's Carpentry Services & Sash Window Repairs,9.79,17
Purley,4 years,ACS Drainage,9.91,268
"Shoreham-by-Sea, West Sussex",15 years,ACS Electrical,9.8,365
"Liverpool, Merseyside",1 year,AC's Paving,9.87,31
"Hull, North Humberside",Less than a year,"ACS Plumbing, Heating & Gas Ltd",9.5,6
"Leigh-on-Sea, Essex",Less than a year,Act 1 Roofing and Building Maintenance,9.9,20
"Wickford, Essex",Less than a year,Act Fast Plumbing,9.95,49
"Croydon, Surrey",Less than a year,Act On Trees Ltd,9.88,19
"Winchester, Hampshire",Less than a year,Acta Plumbing,9.99,27
"Farnborough, Hampshire",7 years,Actfast Solutions Ltd,9.85,539
"Bristol, Avon",Less than a year,Action Force Pest Control,9.8,29
"Camborne, Cornwall",3 years,Action Heating Cornwall,9.9,127
"Southampton, Hampshire",10 years,Action Locksmiths And Security Engineers,9.94,78
"Leeds, West Yorkshire",Less than a year,Action Roofing,9.84,13
"Walton-on-Thames, Surrey",5 years,Action Tree Surgeons,9.81,162
"Verwood, Dorset",9 years,Activate Electrical,9.85,270
"Coventry, West Midlands",2 years,Activate Energy Ltd,9.81,71
"Wimborne, Dorset",6 years,Active Drainage Solutions Limited,9.97,160
"Fareham, Hampshire",7 years,Active Eye Security Systems Ltd,9.94,493
"Frome, Somerset",2 years,Active Fire & Security,9.88,77
"Havant, Hampshire",5 years,Active Heat,9.95,295
"Thatcham, Berkshire",2 years,Active Heating Services Ltd,9.87,126
"London, Greater London",3 years,Active Moves Limited,9.89,197
"West Molesey, Surrey",1 year,Active Plumbing,9.94,98
"Hemel Hempstead, Hertfordshire",Less than a year,Active Plumbing & Heating Solutions Ltd,9.78,31
"Hanworth Park, Middlesex",9 years,Active Property Care,9.93,136
"Iver, Buckinghamshire",3 years,Active Response UK Ltd,9.47,71
"Woking, Surrey",7 years,Active Rubbish Clearance Ltd,9.9,420
"Salisbury, Wiltshire",8 years,Active Tree Care Ltd,9.92,499
"Washington, Tyne and Wear",3 years,Active Windows & Doors,9.89,60
London,3 years,Acton Green Sash Services Ltd,9.81,54
"Hitchin, Hertfordshire",Less than a year,Actual Property Services,9.6,10
"North Shields, Tyne and Wear",Less than a year,Acusat North East,9.77,12
"Swanley, Kent",Less than a year,Acute Plumbing & Heating Ltd,9.95,10
"London, Greater London",Less than a year,ACV Building Services,9.65,14
"Evesham, Worcestershire",1 year,ACW Trees,9.94,38
"Knaresborough, North Yorkshire",1 year,AD Bathrooms,9.64,7
"Llanelli, Sir Gaerfyrddin",3 years,AD Carpentry & Installations,9.77,104
"Abingdon, Oxfordshire",Less than a year,AD Construction,9.9,28
"Worcester Park, Greater London",3 years,AD Flooring Contracts Ltd,9.66,137
London,Less than a year,AD Plastering,9.78,15
Enfield,Less than a year,AD Safe Trade Limited,9.92,3
"Stanford-le-Hope, Essex",Less than a year,AD Theobald & Sons,9.75,5
"London, Greater London",Less than a year,ADA Windows Ltd,9.88,45
"Carshalton, Greater London",10 years,Adam & Eve Home & Garden Creations,9.91,77
"Burgess Hill, West Sussex",6 years,Adam Baker Carpets Ltd.,9.83,386
"Twickenham, Greater London",6 years,Adam Dale Handyman,9.98,272
"Stockton-on-Tees, Durham",1 year,Adam Eeles Roofing,9.81,36
"Gravesend, Kent",3 years,Adam Friend Decor,9.81,84
"Epsom, Surrey",5 years,Adam Hart Electrical,9.72,276
"St. Albans, Hertfordshire",Less than a year,Adam Holding & Associates Ltd,9.18,10
"Crawley, West Sussex",10 years,Adam Howes Plastering,9.88,180
"Southampton, Hampshire",8 years,Adam Installations,9.87,80
"Castleford, West Yorkshire",3 years,Adam Jackson Professional Tiling & Decorating Services,9.91,122
Sutton,1 year,Adam Kwiatkowski Gas Services,9.75,66
"March, Cambridgeshire",4 years,Adam Mills Roofing,9.84,11
"London, Greater London",2 years,Adam Renovations Ltd,9.44,53
"Bognor Regis, West Sussex",Less than a year,Adam Skinner Carpets and Vinyls,10,59
"Worthing, West Sussex",7 years,Adam Steele Building Contractors,9.89,175
"Chelmsford, Essex",1 year,Adam Vaughan Trees & Landscapes,9.91,43
"Bournemouth, Dorset",6 years,Adam Window Centres of Tuckton,9.71,993
"Southampton, Hampshire",1 year,Adames Property Maintenance,9.91,66
"Stoke-on-Trent, Staffordshire",1 year,Adams & Sons Removals & Storage,9.86,26
"Brighton, East Sussex",5 years,Adams Aerials & Satellites,9.97,191
"Bury St. Edmunds, Suffolk",Less than a year,Adam's Aerials Ltd,9.94,31
"Arundel, West Sussex",12 years,Adams Airport Cars,9.93,2138
"Maldon, Essex",Less than a year,Adams Carpet Cleaning & Decorating Solutions,10,9
"Reading, Berkshire",3 years,Adams Chimney Sweeps,9.95,45
"St. Albans, Hertfordshire",3 years,Adams Design & Do,9.91,50
"Bromley, Kent",5 years,Adams Electrical,9.93,268
"Walton-on-Thames, Surrey",1 year,Adam's Garden Services,9.88,16
"Bath, Avon",Less than a year,Adams of Bath,9.97,35
"Bristol, Avon",Less than a year,Adams Plumbing & Heating,9.86,7
"Brentford, Middlesex",1 year,Adams Professional Tree Services,9.92,55
"Southampton, Hampshire",Less than a year,Adams Tree Care,9.83,22
"Rustington, West Sussex",7 years,Adams Windows,9.91,233
"Oldham, Greater Manchester",4 years,Adamson Roofing Contractors,9.93,136
"Eastleigh, Hampshire",4 years,Adapt Landscape Construction Ltd,9.97,45
"Hampton, Greater London",3 years,Adapt Roofing,9.73,76
"Stockport, Greater Manchester",3 years,Adaptation Building Services Limited,9.92,115
"Plymouth, Devon",Less than a year,Adaptive Energy Ltd,9.72,8
"Waterlooville, Hampshire",7 years,ADB Projects Ltd,9.84,14
"Bristol, Somerset",4 years,ADCAR Plastering,9.85,60
"Derby, Derbyshire",1 year,Add On Building Services,9.7,11
"Coulsdon, Surrey",Less than a year,Add Rooms,9.94,8
London,4 years,Addington Building Services,9.55,77
"Rushden, Northamptonshire",1 year,Addingtons,9.39,8
"Christchurch, Dorset",4 years,Addiss Electrical,9.98,148
"Woking, Surrey",6 years,Addlestone Windows & Conservatories,9.89,37
Orpington,4 years,Addspace Building Ltd,9.7,70
"Romford, Essex",1 year,Addspace London Ltd,9.38,10
"Bristol, Gloucestershire",4 years,Ade Electrical Services(Bristol) Ltd,9.9,248
"West Wickham, Bromley",1 year,Adelphi House Clearance,9.93,67
"Nottingham, Nottinghamshire",2 years,ADEM Plumbing and Heating,9.93,71
London,2 years,Adems Carpentry & Joinery Limited,9.99,83
"Welwyn, Hertfordshire",1 year,Aden Associates Ltd.,9.62,13
"Manchester, Greater Manchester",2 years,Adept Decorators,9.97,20
"Camberley, Surrey",Less than a year,Adept Digital Systems,9.9,78
"Bournemouth, Dorset",Less than a year,Adept Electrical,9.64,25
"Warwick, Warwickshire",3 years,Adept Electrical,9.83,66
"Stockton-on-Tees, Cleveland",Less than a year,Adept Electrical Solutions,10,11
"Basingstoke, Hampshire",8 years,Adept Fireplace Installations,9.84,426
"Ramsgate, Kent",7 years,Adept Heating,9.97,111
"Pulborough, West Sussex",4 years,Adept Heating & Mechanical Services Ltd,9.7,90
"Christchurch, Hampshire",1 year,Adept Plumbing,10,12
Erith,1 year,Ades Handyman Services,9.66,74
"Littlehampton, West Sussex",1 year,Adfield Electrical,10,67
"Manchester, Greater Manchester",3 years,ADG Affordable Double Glazing,9.94,298
"Chelmsford, Essex",Less than a year,ADG Air Conditioning,9.8,5
London,Less than a year,ADG Plumbing and Heating Ltd,9.98,12
"Bordon, Hampshire",3 years,"Adgar Construction, Building and Property Maintenance",9.79,81
"Stoke-on-Trent, Staffordshire",1 year,ADH Carpentry & Joinery,9.84,26
"New Milton, Hampshire",1 year,Adi's Maintenance,9.84,43
"Fareham, Hampshire",2 years,ADK Removals,9.91,133
"Havant, Hampshire",2 years,ADL Bedrooms & Kitchens,9.8,47
"Leighton Buzzard, Bedfordshire",1 year,ADL Build Ltd,9.89,33
"Crawley, West Sussex",9 years,ADL Plastering,9.67,58
"Ashford, Kent",1 year,ADL Plastering and Tiling,9.76,20
"Newbury, Berkshire",7 years,Adlem Decorators,9.88,194
"Farnborough, Hampshire",7 years,ADM Electrical,9.96,86
"Maidstone, Kent",Less than a year,ADM Improvements,9.9,13
"Stockton-on-Tees, Cleveland",Less than a year,ADMB Plasterers,9.85,27
"Staines-upon-Thames, Surrey",6 years,Admiral Roofing & Building,9.87,117
"Malmesbury, Wiltshire",3 years,Admiral Roofing UK,9.76,114
"Woking, Surrey",13 years,ADO Builders,9.91,157
"Woking, Surrey",6 years,Adobe Building Services Limited,9.85,15
"Folkestone, Kent",Less than a year,Adore Your Bathroom,10,11
Sutton,4 years,Adores Granite & Marble Ltd,9.32,70
"Salisbury, Wiltshire",8 years,ADP Home Improvements,9.92,155
Wantage,1 year,ADR Plumbing and Heating,9.97,32
"Swindon, Wiltshire",Less than a year,Adrian Bell Carpentry,9.96,7
"Woking, Surrey",7 years,Adrian Chitty Locksmiths,9.94,565
"Tamworth, Staffordshire",Less than a year,Adrian Guest,9.91,16
"Lancing, West Sussex",4 years,Adrian Harris Garden Design And Build,9.88,47
"Barnsley, South Yorkshire",1 year,Adrian Hewson Decorating Services,9.85,36
"Haywards Heath, West Sussex",Less than a year,Adrian Hoyle Property Matters,9.86,16
"Borehamwood, Hertfordshire",Less than a year,Adrian Interiors,9.76,52
"Dalry, North Ayrshire",2 years,Adrian K Wilson Roofing Specialist,9.83,40
Birmingham,5 years,Adrian Parkes Electrical Services,9.89,85
"South Ockendon, Essex",4 years,Adrian Plumbing & Heating Ltd,9.81,187
London,3 years,Adrian Podlejski Specialist Installer & Renovator Of Wood Floors,9.96,130
"Ipswich, Suffolk",2 years,Adrian Smith Painter & Decorator,9.96,61
"Blandford Forum, Dorset",7 years,Adrian White Painting & Decorating,9.87,73
"Steyning, West Sussex",7 years,Adrians Plumbing Services,9.94,136
South Croydon,3 years,ADS Autos,9.9,83
"Cardiff, South Glamorgan",Less than a year,Ads Carpentry and Building Services,9.65,5
"Horsham, West Sussex",Less than a year,ADS Construction and Groundworks Limited,9.29,6
"Southampton, Hampshire",2 years,ADS Cooling Ltd,9.82,38
"Andover, Hampshire",Less than a year,ADS Plastering,9.85,20
"Leicester, Leicestershire",Less than a year,AD's Property Maintenance,9.75,23
"St. Albans, Hertfordshire",Less than a year,ADS Satellite and Aerials Ltd,9.9,163
"Worthing, West Sussex",7 years,Adscapes,9.97,76
"Harpenden, Hertfordshire",1 year,Adsco Floor Sanding & Restoration Specialists,9.91,30
"Ryton, Tyne and Wear",1 year,ADT Plumbing and Heating,9.94,38
"Didcot, Oxfordshire",2 years,Adtec Electrical Services Ltd,9.92,39
"Waterlooville, Hampshire",3 years,Adtec Plumbing Gas Renewables Limited,9.93,151
"Southampton, Hampshire",3 years,Adtree Care Ltd,10,57
"Durrington, West Sussex",12 years,Adur Bathrooms,9.95,176
"Worthing, West Sussex",11 years,Adur Home Improvements Ltd,9.86,441
"Shoreham, West Sussex",12 years,Adur Landscapes,9.81,179
"Worthing, West Sussex",3 years,Adur Pest Control,9.95,292
"Shoreham-by-Sea, West Sussex",3 years,Adur TV Solutions,9.96,239
"Horsham, West Sussex",3 years,Adurhill Paving,9.81,70
"Tunbridge Wells, Kent",6 years,Advance Building Contractor,9.98,53
"Worcester Park, Surrey",4 years,Advance Clearance,9.9,650
"Potters Bar, Hertfordshire",4 years,Advance Construction Solutions,9.74,121
"Potters Bar, Hertfordshire",1 year,Advance Digital Solutions Ltd,9.86,57
Thornton Heath,Less than a year,Advance Domestic Repairs,9.55,29
"Staines-upon-Thames, Surrey",3 years,Advance Driveways & Landscape Contractors Ltd,9.58,27
"Wallsend, Tyne and Wear",Less than a year,Advance Fire & Security Systems,9.94,14
"Ipswich, Suffolk",Less than a year,Advance Heating Ltd,9.96,14
"Brighton, East Sussex",8 years,Advance Plumbing and Heating,9.89,107
"Brighton, East Sussex",Less than a year,Advance Rubbish Clearance,9.98,52
Bexleyheath,Less than a year,Advance Security CCTV  Ltd,9.97,193
"Lymington, Hampshire",7 years,Advance Shutters Ltd,9.85,934
"Canvey Island, Essex",3 years,Advanced,9.8,71
"Colchester, Essex",4 years,Advanced Aerials & Son Limited,9.91,264
"Southampton, Hampshire",6 years,Advanced Appliance Care,9.96,397
"Harlow, Essex",Less than a year,Advanced AV Ltd,9.96,18
"Huddersfield, West Yorkshire",Less than a year,Advanced Chemdry,10,7
"Southampton, Hampshire",8 years,Advanced Clean,9.97,831
London,3 years,Advanced Clean,9.92,158
"Stanley, County Durham",4 years,Advanced Decorating,9.8,205
Romford,3 years,Advanced Drains Ltd,9.87,25
"Southampton, Hampshire",10 years,Advanced Exterior Plastics Ltd,9.72,430
"Newcastle, Staffordshire",2 years,Advanced Flat Roofing,9.95,19
"Derby, Derbyshire",1 year,Advanced Gas Services (Midlands) Ltd,9.95,70
"Waterlooville, Hampshire",2 years,Advanced Gate Solutions Ltd,9.85,20
Upminster,4 years,Advanced Glazing Systems Ltd,9.84,353
"Shifnal, Shropshire",1 year,Advanced Heat Solutions Ltd,9.91,29
"Chesterfield, Derbyshire",2 years,Advanced Plumbing and Heating,9.94,55
"Orpington, Greater London",3 years,Advanced Professional Roofing,9.86,23
"Langport, Somerset",Less than a year,Advanced Resin Solutions Ltd,9.86,27
"Billingshurst, West Sussex",3 years,Advanced Roofcare,9.75,109
London,1 year,Advanced Roofing,9.84,25
"Llangefni, Sir Ynys Mon",4 years,Advanced Roofing & Building,9.83,46
"Swindon, Wiltshire",Less than a year,Advanced Roofing and Guttering,9.91,11
"Boston, Lincolnshire",3 years,Advanced Roofing Systems,9.91,108
"Epsom, Surrey",Less than a year,Advanced Security Surrey Ltd,9.93,7
"Portsmouth, Hampshire",2 years,Advanced Trade Services Limited,9.92,72
"Dunfermline, Fife",Less than a year,Advanced Traditional Screeding Ltd,9.9,5
"Bushey, Hertfordshire",3 years,Advanced Tree Care,9.76,171
"Swindon, Wiltshire",4 years,Advanced Tree Care & Landscape Services,9.95,83
"Chertsey, Surrey",6 years,Advanced Tree Surgeons Limited,9.6,55
"Basildon, Essex",1 year,Advanced Windows Doors and Conservatories Ltd,9.98,33
"St. Leonards-on-Sea, East Sussex",3 years,Advanced Windows Southern,9.99,101
Bangor,1 year,Advancedni Ltd,9.7,5
"Broadstone, Dorset",5 years,Advancing Homes Limited,9.97,82
"Horsham, West Sussex",2 years,Advantage Air Systems,9.94,46
"Tadworth, Surrey",6 years,Advantage Builders Ltd,9.75,48
"Brighton, East Sussex",1 year,Advantage Property Services,9.93,77
"Woking, Surrey",3 years,ADW Electrical Services,9.92,664
"Southampton, Hampshire",Less than a year,ADW Property Maintenance,9.86,14
"Aldershot, Hampshire",3 years,ADW Roofing Services,9.97,60
"Montgomery, Shropshire",1 year,Ady Hughes Painting & Decorating,9.73,34
